config,psnr,ssim,entropy,eme,cii,colorfulness,delta_e
auto,24.4775,0.86,6.7054,34.2787,0.9841,63.6562,3.7373
srgan_v  [paper],24.4775,0.86,6.7054,34.2787,0.9841,63.6562,3.7373
srgan_rgb,23.7544,0.7839,7.0912,35.7189,0.9647,61.5054,4.4906
lanczos_detail,23.2521,0.7298,7.0264,35.2254,0.9879,63.7809,4.2117
bicubic_detail,23.3485,0.7379,7.042,39.5257,0.9865,63.7705,4.1612
ibp,23.1051,0.7264,7.0579,40.8875,0.9905,63.9983,4.1907
unsharp_sr,23.7706,0.7819,7.0522,38.7246,0.9867,63.9251,3.9623
none,24.3199,0.8237,6.9835,35.9847,0.979,63.6589,3.8033
