config,psnr,ssim,entropy,eme,cii,colorfulness,delta_e
A: Paper A (Jagarajan),23.2883,0.8117,7.5937,49.378,0.9754,63.3163,5.1974
B: Paper B (AFGT+UM),24.6065,0.925,7.5508,21.8479,0.8795,65.5914,5.1274
C: Hybrid (A + AFGT),21.4356,0.8137,7.5851,47.3126,0.9024,59.6169,6.7288
D: Hybrid (AFGT+AGCWD),26.0647,0.9338,7.5386,36.0411,0.9813,69.6035,4.4016
E: HSV+stretch+HuWBIliteral+SRGAN,28.94,0.9218,7.0049,11.6498,0.9812,63.221,3.3628
