config,psnr,ssim,entropy,eme,cii,colorfulness,delta_e
hsv  [paper],24.4775,0.86,6.7054,34.2787,0.9841,63.6562,3.7373
yiq,24.1995,0.8387,6.5458,60.9826,1.0205,64.8391,3.6514
ycrcb,24.1718,0.8419,6.5715,60.9627,1.019,64.5522,3.7051
yuv,24.1551,0.8419,6.5743,61.8932,1.019,64.5611,3.7205
lab,23.6103,0.8295,6.6928,59.9605,1.0142,64.6191,3.8917
hsi,23.9952,0.8316,6.4913,67.6581,1.0197,65.3102,4.094
gray,24.007,0.8369,6.5601,67.3107,1.0174,65.883,4.0999
