config,psnr,ssim,entropy,eme,cii,colorfulness,delta_e
A: Paper A default,24.4775,0.86,6.7054,34.2787,0.9841,63.6562,3.7373
B: Paper B (AFGT+UM),28.1869,0.9306,6.6607,58.6056,1.0028,69.8057,3.0414
C: Hybrid (A+AFGT),24.5711,0.83,6.9976,74.2179,0.9597,64.4615,4.0027
D: Hybrid (AFGT+AGCWD),25.0791,0.9218,6.8558,56.1935,1.0842,71.9291,4.3342
E: HSV+stretch+HuWBIliteral,27.4165,0.8675,6.6232,24.0285,1.0172,62.3866,2.9682
F: afgt+stretch+HuWBIliteral,27.0383,0.9352,6.7444,55.4076,1.0177,68.1932,3.3441
