config,psnr,ssim,entropy,eme,cii,colorfulness,delta_e,sr_actual
hsv  [paper],23.0071,0.8261,7.5643,44.0238,0.9319,61.0521,5.2818,srgan_v
yiq,22.3496,0.756,7.5693,40.8922,0.9523,68.8686,5.1626,srgan_v
ycrcb,22.3087,0.7578,7.571,39.7555,0.9526,68.8754,5.2214,srgan_v
yuv,22.2889,0.7572,7.569,40.6965,0.9523,68.9976,5.2397,srgan_v
lab,22.1107,0.7634,7.5588,37.0742,0.9536,67.7331,5.3211,srgan_v
hsi,21.7608,0.7606,7.5319,54.1605,0.9555,64.3565,6.1216,srgan_v
gray,21.402,0.7469,7.51,54.7983,0.9519,64.7509,6.4554,srgan_v
