config,psnr,ssim,entropy,eme,cii,colorfulness,delta_e
hu_wbi  [paper],24.4775,0.86,6.7054,34.2787,0.9841,63.6562,3.7373
hu_wbi_literal,22.2635,0.7364,6.6539,26.0318,0.9433,60.5279,4.9481
bilinear,24.7253,0.8715,6.7011,33.126,0.9849,63.6428,3.6827
bicubic,24.4133,0.8546,6.7218,34.291,0.9877,63.8375,3.7324
lanczos4,24.4467,0.8563,6.7219,34.2649,0.9868,63.8189,3.7232
nearest,24.3521,0.8536,6.7288,34.4991,0.9868,63.8026,3.7483
edge_directed,24.5238,0.8593,6.7175,34.7075,0.9878,63.8556,3.687
none,24.3521,0.8536,6.7288,34.4991,0.9868,63.8026,3.7483
