config,psnr,ssim,entropy,eme,cii,colorfulness,delta_e,sr_actual
auto,23.0071,0.8261,7.5643,44.0238,0.9319,61.0521,5.2818,srgan_v
srgan_v  [paper],23.0071,0.8261,7.5643,44.0238,0.9319,61.0521,5.2818,srgan_v
srgan_rgb,22.8641,0.8333,7.5914,46.6977,0.9281,59.7263,5.3165,srgan_rgb
lanczos_detail,22.8269,0.7977,7.6005,52.1922,0.9403,60.8255,5.1797,lanczos_detail
bicubic_detail,22.9019,0.8049,7.5996,48.5284,0.9398,60.8634,5.1407,bicubic_detail
ibp,22.8474,0.7959,7.6,54.0539,0.9402,60.8529,5.1832,ibp
unsharp_sr,23.0005,0.8225,7.5989,48.0557,0.94,60.8724,5.0981,unsharp_sr
none,23.1689,0.8458,7.5977,46.2889,0.9397,60.9094,4.987,none
