config,psnr,ssim,entropy,eme,cii,colorfulness,delta_e,sr_actual
hu_wbi  [paper],23.0071,0.8261,7.5643,44.0238,0.9319,61.0521,5.2818,srgan_v
hu_wbi_literal,21.6807,0.8355,7.4682,22.454,0.9309,58.4974,5.735,srgan_v
bilinear,23.0899,0.8357,7.5635,43.6361,0.9321,61.0304,5.2462,srgan_v
bicubic,22.968,0.8216,7.5677,44.2953,0.9317,60.9326,5.3042,srgan_v
lanczos4,22.9837,0.8237,7.5682,43.9966,0.9314,60.9302,5.2984,srgan_v
nearest,22.9686,0.8232,7.5699,44.1615,0.9307,60.9083,5.3103,srgan_v
edge_directed,23.0155,0.8258,7.568,45.3028,0.9325,61.0071,5.2822,srgan_v
none,22.9686,0.8232,7.5699,44.1615,0.9307,60.9083,5.3103,srgan_v
