image,class,config,psnr,ssim,mse,rmse,mae,ambe,ncc,uqi,delta_e,enh_brightness,enh_contrast,enh_entropy,enh_eme,enh_avg_gradient,enh_laplacian_var,enh_colorfulness,enh_edge_density,enh_michelson,orig_brightness,orig_contrast,orig_entropy,orig_eme,orig_avg_gradient,orig_laplacian_var,orig_colorfulness,orig_edge_density,orig_michelson,cii,entropy_gain,sharpness_gain,eme_gain,colorfulness_gain
dyed_polyp_01.png,dyed_polyp,upsample:bicubic,27.8037,0.9035,84.7351,9.2052,6.6551,4.1335,0.9589,0.9385,2.8829,35.6316,26.9311,5.8735,54.5559,17.7405,74.9934,34.7377,0.2747,1.0,31.4981,22.7802,5.7785,51.46,12.2568,49.7582,29.4224,0.0214,1.0,1.1822,0.095,1.4474,1.0602,1.1807
dyed_polyp_01.png,dyed_polyp,upsample:lanczos4,27.8153,0.9056,84.4554,9.19,6.6465,4.1733,0.9592,0.9388,2.8816,35.6714,26.901,5.8854,54.6098,17.6528,76.5571,34.7318,0.2991,1.0,31.4981,22.7802,5.7785,51.46,12.2568,49.7582,29.4224,0.0214,1.0,1.1809,0.1069,1.4402,1.0612,1.1805
dyed_polyp_01.png,dyed_polyp,upsample:nearest,28.1812,0.9048,77.457,8.801,6.4518,4.0239,0.9625,0.9435,2.8084,35.5221,26.7326,5.8689,54.4868,17.5969,95.9093,34.5794,0.2869,1.0,31.4981,22.7802,5.7785,51.46,12.2568,49.7582,29.4224,0.0214,1.0,1.1735,0.0904,1.4357,1.0588,1.1753
dyed_polyp_01.png,dyed_polyp,upsample:none,28.5342,0.9054,71.3621,8.4476,6.2325,3.5493,0.9634,0.9467,2.7286,35.0474,26.584,5.8594,54.537,17.5423,94.0486,34.2667,0.3189,1.0,31.4981,22.7802,5.7785,51.46,12.2568,49.7582,29.4224,0.0214,1.0,1.167,0.0809,1.4312,1.0598,1.1646
dyed_polyp_01.png,dyed_polyp,sr:none,27.3073,0.8647,95.1221,9.7531,7.2399,3.8249,0.9436,0.9276,3.1785,35.323,26.3589,6.2772,59.033,21.0201,110.6046,34.1039,0.3296,0.9787,31.4981,22.7802,5.7785,51.46,12.2568,49.7582,29.4224,0.0214,1.0,1.1571,0.4987,1.715,1.1472,1.1591
dyed_polyp_01.png,dyed_polyp,sr:lanczos_detail,26.6691,0.7769,109.9391,10.4852,7.864,3.9065,0.9333,0.9163,3.4802,35.4046,26.5304,6.3712,64.2788,24.0207,509.6911,34.4168,0.4791,1.0,31.4981,22.7802,5.7785,51.46,12.2568,49.7582,29.4224,0.0214,1.0,1.1646,0.5927,1.9598,1.2491,1.1697
dyed_polyp_01.png,dyed_polyp,sr:ibp,26.3326,0.7308,118.7491,10.8972,8.217,4.0266,0.9275,0.9098,3.6512,35.5247,26.6094,6.3821,72.992,24.634,813.2412,34.5723,0.5188,1.0,31.4981,22.7802,5.7785,51.46,12.2568,49.7582,29.4224,0.0214,1.0,1.1681,0.6036,2.0098,1.4184,1.175
dyed_polyp_01.png,dyed_polyp,sr:unsharp_sr,27.0223,0.8292,101.511,10.0753,7.5535,4.0297,0.9402,0.9233,3.3463,35.5278,26.4278,6.3411,60.0815,22.6168,211.6716,34.2681,0.4181,1.0,31.4981,22.7802,5.7785,51.46,12.2568,49.7582,29.4224,0.0214,1.0,1.1601,0.5626,1.8452,1.1675,1.1647
dyed_polyp_02.png,dyed_polyp,PAPER,27.647,0.8828,88.2549,9.3944,6.9976,4.0228,0.96,0.9428,3.0097,36.97,28.5291,5.9412,54.7358,18.3833,76.256,36.6334,0.3006,1.0,32.9472,24.5127,5.8818,51.6763,12.6234,50.512,31.4156,0.0198,1.0,1.1638,0.0594,1.4563,1.0592,1.1661
dyed_polyp_02.png,dyed_polyp,space:yiq,26.516,0.8882,143.1519,11.9646,8.6844,6.9934,0.9644,0.9222,3.0503,39.9406,30.8627,5.941,54.438,18.6989,47.482,29.9581,0.0183,1.0,32.9472,24.5127,5.8818,51.6763,12.6234,50.512,31.4156,0.0198,1.0,1.259,0.0592,1.4813,1.0534,0.9536
dyed_polyp_02.png,dyed_polyp,space:ycrcb,26.3849,0.9022,147.4377,12.1424,8.7698,7.3406,0.9646,0.921,3.123,40.2877,30.8417,5.7299,25.3265,18.374,46.8226,29.9527,0.0351,0.9804,32.9472,24.5127,5.8818,51.6763,12.6234,50.512,31.4156,0.0198,1.0,1.2582,-0.1519,1.4556,0.4901,0.9534
dyed_polyp_02.png,dyed_polyp,space:lab,26.4764,0.9096,144.7344,12.0306,8.4908,7.1971,0.9695,0.9231,3.0616,40.1442,31.3076,6.043,45.038,19.2864,48.5771,31.2877,0.0641,1.0,32.9472,24.5127,5.8818,51.6763,12.6234,50.512,31.4156,0.0198,1.0,1.2772,0.1612,1.5278,0.8715,0.9959
dyed_polyp_02.png,dyed_polyp,space:hsi,25.8314,0.8933,134.3198,11.5896,8.3849,6.4329,0.9612,0.9244,3.4923,39.3801,30.436,5.899,54.6417,18.9298,65.7973,38.8743,0.383,1.0,32.9472,24.5127,5.8818,51.6763,12.6234,50.512,31.4156,0.0198,1.0,1.2416,0.0172,1.4996,1.0574,1.2374
dyed_polyp_02.png,dyed_polyp,contrast:clahe_sk,20.6547,0.5683,440.0715,20.9779,17.6756,12.8635,0.864,0.7893,8.1281,45.8107,32.2389,6.7448,56.637,32.5691,379.3042,42.7419,2.9663,0.9821,32.9472,24.5127,5.8818,51.6763,12.6234,50.512,31.4156,0.0198,1.0,1.3152,0.863,2.5801,1.096,1.3605
dyed_polyp_02.png,dyed_polyp,contrast:he,20.487,0.6802,454.9066,21.3285,18.7414,18.7216,0.9813,0.8509,8.5931,51.6688,33.114,6.777,50.0798,24.4516,451.741,44.5872,0.3769,0.9823,32.9472,24.5127,5.8818,51.6763,12.6234,50.512,31.4156,0.0198,1.0,1.3509,0.8952,1.937,0.9691,1.4193
dyed_polyp_02.png,dyed_polyp,contrast:bbhe,22.7911,0.7417,271.8546,16.488,12.0012,9.572,0.9561,0.8719,4.8595,42.5192,34.7773,6.4874,20.2613,23.1222,132.9443,43.7601,1.5549,0.9492,32.9472,24.5127,5.8818,51.6763,12.6234,50.512,31.4156,0.0198,1.0,1.4187,0.6056,1.8317,0.3921,1.3929
dyed_polyp_02.png,dyed_polyp,contrast:dsihe,22.8543,0.7225,267.972,16.3699,11.9795,8.7373,0.9457,0.8689,4.8727,41.6844,34.5008,6.4753,20.2832,23.5176,144.6768,43.2563,1.9745,0.9496,32.9472,24.5127,5.8818,51.6763,12.6234,50.512,31.4156,0.0198,1.0,1.4075,0.5935,1.863,0.3925,1.3769
dyed_polyp_02.png,dyed_polyp,contrast:agcwd,27.0562,0.8191,98.1754,9.9084,8.0838,6.1852,0.9491,0.9263,4.0458,26.7619,22.7425,5.2166,16.7804,13.3951,37.3287,28.2376,0.0931,0.8889,32.9472,24.5127,5.8818,51.6763,12.6234,50.512,31.4156,0.0198,1.0,0.9278,-0.6652,1.0611,0.3247,0.8988
dyed_polyp_02.png,dyed_polyp,contrast:msr,24.4568,0.7544,184.3,13.5757,10.2774,8.7571,0.9556,0.9055,4.7204,41.7042,30.8723,6.6546,49.9961,25.1244,183.6705,40.1033,1.004,1.0,32.9472,24.5127,5.8818,51.6763,12.6234,50.512,31.4156,0.0198,1.0,1.2594,0.7728,1.9903,0.9675,1.2765
dyed_polyp_02.png,dyed_polyp,contrast:stretch,23.405,0.8862,234.216,15.3041,12.4481,11.6322,0.998,0.9027,4.991,44.5794,34.2858,6.0271,51.9569,16.6194,83.9788,43.9013,0.0,1.0,32.9472,24.5127,5.8818,51.6763,12.6234,50.512,31.4156,0.0198,1.0,1.3987,0.1453,1.3166,1.0054,1.3974
dyed_polyp_02.png,dyed_polyp,upsample:hu_wbi_literal,30.7883,0.9071,43.0508,6.5613,4.9463,0.2198,0.9657,0.9652,2.1783,32.7273,25.2307,5.7392,53.6773,16.0066,61.5658,32.3965,0.0641,1.0,32.9472,24.5127,5.8818,51.6763,12.6234,50.512,31.4156,0.0198,1.0,1.0293,-0.1426,1.268,1.0387,1.0312
dyed_polyp_02.png,dyed_polyp,upsample:bilinear,27.7349,0.9017,86.3545,9.2927,6.8572,3.9901,0.9607,0.9439,2.9732,36.9372,28.4591,5.8957,54.5667,18.1472,70.5363,36.4989,0.1984,1.0,32.9472,24.5127,5.8818,51.6763,12.6234,50.512,31.4156,0.0198,1.0,1.161,0.0139,1.4376,1.0559,1.1618
dyed_polyp_02.png,dyed_polyp,upsample:bicubic,27.6869,0.8856,87.3594,9.3466,6.9709,4.0745,0.9607,0.9435,2.9738,37.0216,28.4959,5.9369,54.5854,18.4244,79.8099,36.653,0.3143,1.0,32.9472,24.5127,5.8818,51.6763,12.6234,50.512,31.4156,0.0198,1.0,1.1625,0.0551,1.4595,1.0563,1.1667
dyed_polyp_02.png,dyed_polyp,upsample:lanczos4,27.6562,0.8885,87.9457,9.3779,6.9904,4.127,0.9603,0.9432,2.9837,37.0741,28.4558,5.9548,54.695,18.329,81.4921,36.6379,0.3677,1.0,32.9472,24.5127,5.8818,51.6763,12.6234,50.512,31.4156,0.0198,1.0,1.1609,0.073,1.452,1.0584,1.1662
dyed_polyp_02.png,dyed_polyp,upsample:nearest,27.9615,0.8867,81.8446,9.0468,6.7999,3.951,0.9627,0.9467,2.9108,36.8982,28.31,5.9439,54.4266,18.3042,102.5695,36.4867,0.322,1.0,32.9472,24.5127,5.8818,51.6763,12.6234,50.512,31.4156,0.0198,1.0,1.1549,0.0621,1.45,1.0532,1.1614
dyed_polyp_02.png,dyed_polyp,upsample:none,28.2183,0.8863,77.1559,8.7838,6.6372,3.4798,0.9621,0.9484,2.8751,36.4269,28.0964,5.931,54.5989,18.2887,101.6749,36.1329,0.3036,1.0,32.9472,24.5127,5.8818,51.6763,12.6234,50.512,31.4156,0.0198,1.0,1.1462,0.0492,1.4488,1.0566,1.1502
dyed_polyp_02.png,dyed_polyp,sr:none,27.2029,0.8669,97.7351,9.8861,7.3964,3.8501,0.9483,0.9344,3.278,36.7972,27.9732,6.3393,58.3502,21.8958,117.7291,35.969,0.4562,1.0,32.9472,24.5127,5.8818,51.6763,12.6234,50.512,31.4156,0.0198,1.0,1.1412,0.4575,1.7345,1.1291,1.1449
dyed_polyp_02.png,dyed_polyp,sr:lanczos_detail,26.5286,0.7765,113.9924,10.6767,8.0328,3.9508,0.9381,0.9234,3.5698,36.8979,28.1231,6.4124,71.2408,25.0211,534.5401,36.2961,0.679,1.0,32.9472,24.5127,5.8818,51.6763,12.6234,50.512,31.4156,0.0198,1.0,1.1473,0.5306,1.9821,1.3786,1.1554
dyed_polyp_02.png,dyed_polyp,sr:ibp,26.1914,0.7308,123.1238,11.0961,8.3856,4.0669,0.9328,0.9174,3.7413,37.0141,28.202,6.4117,78.1595,25.6271,851.8529,36.4285,0.7004,1.0,32.9472,24.5127,5.8818,51.6763,12.6234,50.512,31.4156,0.0198,1.0,1.1505,0.5299,2.0301,1.5125,1.1596
dyed_polyp_02.png,dyed_polyp,sr:unsharp_sr,26.8949,0.8292,104.8192,10.2381,7.7324,4.0688,0.9447,0.93,3.4363,37.0159,28.0234,6.3928,61.0463,23.5698,224.0976,36.1456,0.5768,1.0,32.9472,24.5127,5.8818,51.6763,12.6234,50.512,31.4156,0.0198,1.0,1.1432,0.511,1.8672,1.1813,1.1506
dyed_polyp_03.png,dyed_polyp,PAPER,27.8133,0.903,84.961,9.2174,6.7024,4.1472,0.9641,0.9455,2.8973,37.1353,28.6152,5.9392,55.566,18.3824,73.8066,36.511,0.4105,1.0,32.9881,24.4253,5.8538,52.1321,12.8659,49.8204,31.2048,0.0214,1.0,1.1715,0.0854,1.4288,1.0659,1.17
dyed_polyp_03.png,dyed_polyp,space:yiq,26.3715,0.904,147.2124,12.1331,8.6121,7.2864,0.9671,0.9213,3.0127,40.2746,31.0676,5.8189,55.3754,18.6809,47.068,29.693,0.1343,1.0,32.9881,24.4253,5.8538,52.1321,12.8659,49.8204,31.2048,0.0214,1.0,1.2719,-0.0349,1.452,1.0622,0.9516
