color_space,upsample_method,contrast_method,sr_method,sr_actual,seconds,psnr,ssim,mse,rmse,mae,ambe,ncc,uqi,original_brightness,original_contrast,original_entropy,original_eme,original_avg_gradient,original_laplacian_var,original_colorfulness,original_edge_density,original_michelson,enhanced_brightness,enhanced_contrast,enhanced_entropy,enhanced_eme,enhanced_avg_gradient,enhanced_laplacian_var,enhanced_colorfulness,enhanced_edge_density,enhanced_michelson,cii,entropy_gain,sharpness_gain,eme_gain,colorfulness_gain
hsv,hu_wbi,clahe,auto,srgan_v,0.631,27.7695,0.9018,85.4939,9.2463,7.2977,2.9738,0.9589,0.9382,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,44.0219,27.746,6.1048,17.8857,26.3484,53.461,38.9096,0.3554,0.9038,1.2184,0.2969,1.512,1.3452,1.1398
hsv,hu_wbi,clahe,srgan_v,srgan_v,0.628,27.7695,0.9018,85.4939,9.2463,7.2977,2.9738,0.9589,0.9382,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,44.0219,27.746,6.1048,17.8857,26.3484,53.461,38.9096,0.3554,0.9038,1.2184,0.2969,1.512,1.3452,1.1398
hsv,hu_wbi,clahe,lanczos_detail,lanczos_detail,0.015,26.8191,0.8585,105.5246,10.2725,7.7651,3.101,0.9385,0.9214,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,44.1492,27.2113,6.4665,22.2595,31.3164,190.9319,39.1927,1.6954,0.9074,1.1949,0.6586,1.7971,1.6741,1.1481
hsv,hu_wbi,clahe,ibp,ibp,0.017,26.7447,0.8485,107.5831,10.3722,7.8882,3.2605,0.9376,0.9203,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,44.3086,27.2081,6.495,22.4425,31.0423,278.5392,39.2001,1.5706,0.9074,1.1948,0.6871,1.7814,1.6879,1.1483
hsv,hu_wbi,clahe,unsharp_sr,unsharp_sr,0.014,26.9859,0.8819,101.4503,10.0723,7.571,3.2739,0.9416,0.9248,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,44.322,27.0947,6.3933,20.6546,30.164,86.6441,39.1543,1.1773,0.8899,1.1898,0.5854,1.731,1.5534,1.147
hsv,hu_wbi,clahe,none,none,0.014,27.246,0.8999,95.3576,9.7651,7.2511,2.9961,0.945,0.9287,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,44.0443,27.0801,6.3237,19.9123,28.7083,48.2172,38.9435,0.4639,0.8889,1.1892,0.5158,1.6474,1.4976,1.1408
