color_space,upsample_method,contrast_method,sr_method,sr_actual,seconds,psnr,ssim,mse,rmse,mae,ambe,ncc,uqi,original_brightness,original_contrast,original_entropy,original_eme,original_avg_gradient,original_laplacian_var,original_colorfulness,original_edge_density,original_michelson,enhanced_brightness,enhanced_contrast,enhanced_entropy,enhanced_eme,enhanced_avg_gradient,enhanced_laplacian_var,enhanced_colorfulness,enhanced_edge_density,enhanced_michelson,cii,entropy_gain,sharpness_gain,eme_gain,colorfulness_gain
ycrcb,hu_wbi,agcwd,srgan_v,srgan_v,0.579,26.2938,0.864,148.1977,12.1736,9.6482,8.7267,0.9285,0.9018,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,32.3215,21.8487,5.7622,13.4032,19.9895,64.247,34.8713,0.6049,0.8,0.9594,-0.0457,1.1471,1.008,1.0215
ycrcb,hu_wbi,agcwd,none,none,0.015,27.0135,0.8895,129.9653,11.4002,9.4945,8.4925,0.9428,0.9152,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,32.5556,21.0621,5.7334,14.1873,21.2784,45.013,34.6112,0.453,0.8163,0.9249,-0.0745,1.2211,1.067,1.0139
yuv,hu_wbi,clahe,srgan_v,srgan_v,0.577,26.7846,0.8955,134.7917,11.61,8.9898,6.3879,0.9698,0.9241,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,47.436,30.0296,6.0462,17.9291,26.5981,61.7666,32.988,0.255,0.9107,1.3187,0.2383,1.5264,1.3484,0.9663
yuv,hu_wbi,clahe,none,none,0.013,27.0448,0.8998,125.7427,11.2135,8.0951,5.9165,0.9575,0.924,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,46.9647,28.706,6.4185,19.4714,29.492,58.5012,33.2492,0.6293,0.8803,1.2605,0.6106,1.6924,1.4644,0.974
yuv,hu_wbi,he,srgan_v,srgan_v,0.589,15.7809,0.6239,1708.3423,41.3321,35.494,35.2882,0.979,0.6729,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,76.3364,43.3076,6.9487,17.0828,39.1667,269.2458,29.8533,7.0068,0.9184,1.9017,1.1408,2.2476,1.2848,0.8745
yuv,hu_wbi,he,none,none,0.014,15.7965,0.5997,1701.2915,41.2467,35.3311,34.2434,0.9768,0.664,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,75.2916,44.7127,6.8365,20.0169,42.8859,359.7395,29.6737,8.5286,0.9586,1.9634,1.0286,2.461,1.5054,0.8693
yuv,hu_wbi,agcwd,srgan_v,srgan_v,0.57,26.3776,0.8665,146.9257,12.1213,9.6122,8.7213,0.9296,0.9029,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,32.3269,21.8236,5.7538,13.4241,19.9424,63.9693,34.7903,0.5208,0.8,0.9583,-0.0541,1.1444,1.0096,1.0191
yuv,hu_wbi,agcwd,none,none,0.015,27.093,0.8913,129.4991,11.3798,9.484,8.4985,0.9434,0.9157,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,32.5496,21.043,5.7359,14.2103,21.2856,45.5076,34.5824,0.3988,0.8163,0.924,-0.072,1.2215,1.0687,1.013
lab,hu_wbi,clahe,srgan_v,srgan_v,0.595,26.5247,0.8957,143.6474,11.9853,8.9659,6.7542,0.9724,0.9216,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,47.8024,30.4952,6.0917,17.4096,27.7463,65.1696,34.2879,0.7812,0.8966,1.3391,0.2838,1.5922,1.3093,1.0044
lab,hu_wbi,clahe,none,none,0.015,26.6276,0.8869,139.2413,11.8001,8.4531,6.4734,0.959,0.9194,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,47.5215,29.3026,6.3823,19.059,30.3369,59.1829,34.41,1.0335,0.8678,1.2867,0.5744,1.7409,1.4334,1.008
