color_space,upsample_method,contrast_method,sr_method,sr_actual,seconds,psnr,ssim,mse,rmse,mae,ambe,ncc,uqi,original_brightness,original_contrast,original_entropy,original_eme,original_avg_gradient,original_laplacian_var,original_colorfulness,original_edge_density,original_michelson,enhanced_brightness,enhanced_contrast,enhanced_entropy,enhanced_eme,enhanced_avg_gradient,enhanced_laplacian_var,enhanced_colorfulness,enhanced_edge_density,enhanced_michelson,cii,entropy_gain,sharpness_gain,eme_gain,colorfulness_gain
hsv,bicubic,dsihe,none,none,0.015,22.6769,0.7255,275.533,16.5992,12.7336,6.76,0.9243,0.8499,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,47.8082,33.4731,6.211,16.63,36.6091,202.3386,45.5607,9.5215,0.871,1.4699,0.4031,2.1008,1.2507,1.3346
hsv,bicubic,agcwd,none,none,0.013,26.0014,0.8941,125.0295,11.1817,9.2592,8.513,0.948,0.9214,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,32.5351,21.4956,5.808,14.9124,22.3271,46.0784,29.8877,0.4557,0.8163,0.9439,0.0001,1.2813,1.1215,0.8755
hsv,bicubic,ssr,none,none,0.032,24.2099,0.8306,201.6156,14.1991,11.3043,8.4842,0.9308,0.8888,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,49.5324,28.9645,6.7258,21.9888,31.8038,77.5975,43.4338,2.2624,0.968,1.2719,0.9179,1.8251,1.6537,1.2723
hsv,bicubic,msr,none,none,0.082,24.7621,0.8085,175.7748,13.258,10.3018,7.2371,0.9359,0.8974,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,48.2853,28.9975,6.6599,22.9019,34.8884,97.3027,42.8835,3.8737,0.9528,1.2734,0.852,2.0021,1.7224,1.2562
hsv,bicubic,stretch,none,none,0.015,24.1314,0.9055,200.0099,14.1425,11.813,10.1536,0.9974,0.9158,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,51.2018,32.4166,6.3017,18.1979,26.9612,58.2158,45.3524,0.4096,0.9328,1.4235,0.4938,1.5472,1.3686,1.3285
hsv,bicubic,tophat,none,none,0.014,30.4099,0.8827,47.3773,6.8831,5.1639,3.0545,0.963,0.9601,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,37.9937,22.5632,6.1555,21.8579,29.9091,129.8275,33.112,1.0742,0.8958,0.9908,0.3476,1.7164,1.6439,0.97
hsv,bicubic,log,none,none,0.013,23.0742,0.8833,259.059,16.0953,14.0147,13.7766,0.9781,0.8375,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,27.2715,15.4327,5.4448,16.249,15.6033,64.6009,23.3518,0.0624,0.8571,0.6777,-0.3631,0.8954,1.2221,0.6841
hsv,bicubic,none,none,none,0.013,36.1516,0.9901,13.4063,3.6615,3.1389,3.0495,0.9979,0.9928,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,37.9986,21.336,5.7944,14.9149,18.4328,31.7946,32.2756,0.0678,0.8242,0.9369,-0.0135,1.0578,1.1217,0.9455
yiq,hu_wbi,clahe,none,none,0.015,27.2542,0.9007,120.7652,10.9893,7.8876,5.5015,0.9584,0.9254,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,46.5497,28.7672,6.3846,19.4818,29.2316,55.6477,33.2787,0.6293,0.8793,1.2632,0.5767,1.6775,1.4652,0.9749
yiq,hu_wbi,clahe_sk,none,none,0.022,17.3228,0.5954,1190.8102,34.5081,26.0968,23.0056,0.9084,0.6687,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,64.0537,44.5781,6.9661,22.8824,53.5528,255.3992,30.663,13.8835,0.9205,1.9575,1.1582,3.0732,1.7209,0.8982
yiq,hu_wbi,he,none,none,0.014,15.8784,0.6136,1673.8477,40.9127,34.7259,33.5132,0.9765,0.6632,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,74.5614,45.1879,6.787,20.0546,40.7836,317.3166,29.6737,9.592,0.9583,1.9843,0.9791,2.3404,1.5083,0.8693
yiq,hu_wbi,bbhe,none,none,0.015,17.6376,0.6313,1104.8638,33.2395,22.9123,19.1452,0.9246,0.6773,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,60.1934,46.8059,6.5257,17.7621,47.8428,234.4125,30.3492,12.6194,0.8846,2.0554,0.7178,2.7455,1.3359,0.889
yiq,hu_wbi,dsihe,none,none,0.015,17.9185,0.6271,1033.0709,32.1414,21.8787,16.6121,0.9062,0.6773,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,57.6603,46.4137,6.3793,17.1454,48.0098,268.4358,30.551,12.321,0.8734,2.0381,0.5714,2.7551,1.2895,0.895
yiq,hu_wbi,agcwd,none,none,0.015,26.8737,0.8892,133.6179,11.5593,9.564,8.7252,0.9432,0.9138,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,32.3229,20.9794,5.7435,14.056,21.2212,43.035,34.7331,0.5127,0.8163,0.9213,-0.0644,1.2178,1.0571,1.0175
yiq,hu_wbi,ssr,none,none,0.031,18.2836,0.7095,957.9017,30.95,25.1624,24.3351,0.9577,0.7438,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,65.3832,39.7742,7.0679,21.2072,39.6372,95.3439,31.2438,5.8648,0.96,1.7466,1.26,2.2746,1.595,0.9152
yiq,hu_wbi,msr,none,none,0.082,18.6812,0.6869,872.4825,29.5378,23.5042,22.6461,0.9599,0.7544,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,63.6943,39.7167,7.0087,22.8136,43.6268,123.3756,31.287,9.4293,0.9474,1.7441,1.2008,2.5036,1.7158,0.9165
yiq,hu_wbi,stretch,none,none,0.015,17.7487,0.7733,1090.5161,33.023,27.0786,25.8583,0.9937,0.7327,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,66.9064,43.0093,6.6684,19.1795,34.473,70.8033,30.7716,2.4685,0.9456,1.8886,0.8605,1.9783,1.4425,0.9014
yiq,hu_wbi,tophat,none,none,0.016,31.613,0.8955,45.0955,6.7153,4.9808,3.192,0.9658,0.9625,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,37.8561,22.2841,6.1452,20.9521,28.5034,106.3224,34.3622,0.746,0.8737,0.9785,0.3373,1.6357,1.5758,1.0066
yiq,hu_wbi,log,none,none,0.014,23.1941,0.7886,295.0963,17.1784,14.0364,13.1328,0.9624,0.7625,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,27.9154,12.7317,5.1556,12.7314,10.6924,82.3229,33.61,0.0461,0.8214,0.5591,-0.6523,0.6136,0.9575,0.9846
yiq,hu_wbi,none,none,none,0.014,35.8586,0.9829,16.9511,4.1172,3.4864,3.3832,0.997,0.9906,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,37.665,21.16,5.8234,14.3778,17.8885,31.3881,34.3933,0.0651,0.8409,0.9292,0.0155,1.0265,1.0813,1.0075
yiq,bicubic,clahe,none,none,0.014,27.2081,0.894,122.0953,11.0497,8.0018,5.4901,0.9591,0.9249,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,46.5382,28.9403,6.4281,20.305,30.2854,91.2706,33.2361,0.689,0.8966,1.2708,0.6202,1.738,1.5271,0.9736
